uid,task1,map1,confidence1,information1,strategy1,inside1,outside1,arrival1,moves1,ratio1,time1,explore1,task2,map2,confidence2,information2,strategy2,inside2,outside2,arrival2,moves2,ratio2,time2,explore2,understanding,familiarity,studyarea,pointing,browser,cvd,cvdYes,gender,age,remarks
id0540cd2292491,AB,default,5,2,"Find direction by turning 360+ °, count crosses to pass before turning, recognise the X markers in the Street View to find the desired spot.",51,1,True,52,0.980769230769231,191013,0.157860920952806,CD,color,5,3,"Turn 360° to find the direction, check at next intersection if the correct street crosses, count crosses, turn at intersections and move along.",62,1,True,63,0.984126984126984,203462,0.169625995875951,The colours of the facades of the buildings.,5,2,Mouse,Firefox,No,,,38,
ida521e2b4f5f38,AB,default,4,2,"to identify street name signs on google maps, and signs indicating the flow of cars, with the help of the arrows on the map on the left, and then counting the intersections i needed to cross or turn at",21,14,True,35,0.6,118889,0.575482597929139,CD,color,5,3,"same as for location B, but i was more prepared and looked for the street signs and flow of cars in order to know for sure my orientation before beginning the task, then, with the help of the trace, i followed it",33,1,True,34,0.970588235294118,69794,0.420870940527469,"i think it's random, but different in order to better distinguish one building from another",5,1,Mouse,Firefox,No,,Male,26,"kudos to you, keep the good work,"
id48483490722bc8,AB,color,5,4,"Get compass orientation (NESW) first, check street names and go to destination.",18,4,True,22,0.818181818181818,91956,0.564288929840285,CD,default,5,4,same as before but do it faster. But I failed with the orientation and started in the wrong direction.,29,20,True,49,0.591836734693878,239790,0.405571687323001,i dont know. building colors?,5,1,Mouse,Firefox,No,,Male,32,second next button was almost not visible for me
idedf630679c283,AB,default,3,4,Orientation at intersections and determination of building boundaries by changing the facade,46,2,True,48,0.958333333333333,84800,0.1372626571306,,,,,,,,,,,,,,,,,,,,,,
id2d08a4029019a,AB,color,3,2,auf die Straßenschilder auf den Bildern und die Einbahnregelungen zu achten,39,1,True,40,0.975,197854,0.290483730151577,,,,,,,,,,,,,,,,,,,,,,
id1d25412f3080f8,AB,color,5,2,Look for roads going off the street and general shape of the road (bents). Also noticed that building color on the map correlated with the physical building at one instance,19,3,True,22,0.863636363636364,165005,0.277006356046896,,,,,,,,,,,,,,,,,,,,,,
id61c5de58c1a148,AB,default,4,3,"von kreuzung zu kreuzung, auf straßennamen achten",87,14,True,101,0.861386138613861,324090,0.0822397765669438,,,,,,,,,,,,,,,,,,,,,,
id0aa16306c0446,AB,default,5,3,I looked at the street names on the map and compared them to what I saw in the Street View and navigated accordingly. I also compared the shape of the buildings at the junctions to what is in the Street View,35,8,True,43,0.813953488372093,338842,0.525801176560664,CD,color,5,3,I compared the colour of the building on the map to those on the Street View and that helped me move faster. I only verified street names at junctions,38,7,True,45,0.844444444444444,320461,0.544147847665379,The colour of the building facade,5,1,Mouse,Chrome,No,,Male,30,
id4cf1a8d90e736,AB,default,4,3,Checking street names on signs and width of street at location A to know the direction and then following the path häuserblock by häuserblock,22,1,True,23,0.956521739130435,101784,0.308822565966281,CD,color,4,3,"i tried to use the additional color information while checking the starting direction at location A, but I helped just a litle bit, because the colours of the buildings are very similar and some buildings with different colors are also mapped with only one color",22,3,True,25,0.88,94361,0.522500702498766,coulor of faccade,5,2,Mouse,Brave,No,,,,"would be happy to have answered this survey in another tool than g**gle forms for privacy reasons. Also the starting recommendation to use g**gle chrome if I can is a bit frighting for privacy reasons (see https://contrachrome.com/ for further details), furthermore the survey worked in brave browser well without any problems"
idaa4daea886fd78,AB,default,5,4,"First figure out what direction I'm facing, and then navigate in a grid pattern (1 block forward, turn left, 2 blocks forward, etc)",24,4,True,28,0.857142857142857,200334,0.429646736875552,,,,,,,,,,,,,,,,,,,,,,
idbc484105f1019,AB,color,2,2,"go from crossing to crossing, change direction, go to next crossing.",29,3,True,32,0.90625,81898,0.289610655961325,CD,default,2,2,"same as task 1, but additionally verify street names in street view",29,2,True,31,0.935483870967742,132213,0.50404332196461,In restrospect they could be building colors. Just a guess.,4,1,Mouse,Chromium just for this test as requested. But usually Firefox.,No,,Male,44,
idf857c655cc93e,AB,color,5,2,Intersections & building colours,28,1,True,29,0.96551724137931,146449,0.274191823818455,,,,,,,,,,,,,,,,,,,,,,
id318bf918702bf,AB,default,5,3,"Querstraßen zählen, manchmal auf Straßenbeschilderung schauen",28,1,True,29,0.96551724137931,101341,0.346215154064682,CD,color,5,3,"Querstraßen zählen, jetzt auch Farben der Häuser beachten",28,2,True,30,0.933333333333333,158371,0.591409860481814,Farben der Hausfassaden,5,4,Mouse,Chrome,No,,Male,37,
idc9bbb7cb89154,AB,color,4,3,"Look at the road name signs on street view, though sometimes that means overshooting and backtracking because of the step size between images",24,14,False,38,0.631578947368421,276803,0.737932206163207,CD,default,4,3,This was a little harder mainly because of the crossroads at the start. That meant figuring out which way the nearby one-way section went with lots of zooming on Street view. Also a junction near the end with a missing name sign meant lots of turning round to reorient myself,32,1,True,33,0.96969696969697,212907,0.818986546317599,"Nothing, just shading for contrast, which makes them a distraction",5,1,Mouse,Firefox,No,,Male,46,
idcaeaf3571f145,AB,default,2,2,"It was difficult to tell which direction I was going at any given time. I relied on Zooming in on the street names, both on the street imagery and on the map. ",27,6,True,33,0.818181818181818,231993,0.862702047295622,CD,color,4,4,"I also looked at the road names on both maps. This one was somehow easier though, and I'm not sure if it's just my second time doing this exercise, of if the map was actually easier to read. I did find the colors easier to interpret. ",21,4,True,25,0.84,154915,1.85505269831389,Hm. I am actually really not sure. Commercial or residential space?,4,1,Mouse,Chrome,No,,Female,44,
idfb852c0c7e4be,AB,default,4,2,Counting street corners,24,2,True,26,0.923076923076923,135728,0.141614696743899,CD,color,4,4,Mix between counting corners an identifying shapes of buldings,30,2,True,32,0.9375,177567,0.225028223979352,Color of buildings,3,1,Mouse,Firefox,No,,Male,50,
id53e6adde37201,AB,color,3,3,Follow the path. Check the colours of the façades but in some it was a bit confusing (I know the topic of the thesis),28,13,False,41,0.682926829268293,113575,0.360776626320806,,,,,,,,,,,,,,,,,,,,,,
ide04ce92206957,AB,default,5,3,Just doing right turns on the crossways and checking street signs on the walls (one time),41,2,True,43,0.953488372093023,296236,0.254542129805205,CD,color,4,4,Check houses' colors to obtain the right direction and move via the streetview with the track from the map.,39,2,True,41,0.951219512195122,301550,0.276004132572622,The main color of buildings' walls from the street side,5,1,Touchpad,Firefox,Maybe,,Male,33,"Sometimes, it was hard to match the color of the house on the map with the real color of the real house. Usually, because of sun or shades"
id46f31f64fd999,AB,color,3,3,I tried to follow the route following the directions in the map and checking the street names on the street signs.,21,2,True,23,0.91304347826087,354797,0.749224294410269,CD,default,3,3,The same as for the last map.,20,6,True,26,0.769230769230769,212807,1.04452060474697,Perhaps the color of the facade?,5,2,Touchpad,Firefox,No,,Male,31,
idc4f0235a639e88,AB,color,5,2,"read the street signs, check the alley to make sure i was starting in the right direction; then count the streets before turning left or right",27,1,True,28,0.964285714285714,85683,0.378341511310378,CD,default,5,2,same same,24,1,True,25,0.96,88685,0.453886641605175,nothing,5,1,Mouse,Firefox,No,,Male,39,
id5c2cab0f0795e,AB,default,5,2,"just following the right street, making sure I'm on the correct on and following in correct direction",24,1,True,25,0.96,218673,0.567874459343391,CD,color,5,2,trying to condider additional color of buildings that seems to match real world shade of building.,24,3,True,27,0.888888888888889,222436,0.572068370445853,color of building in real world,5,1,Mouse,"vivaldi, chrome-based",No,,Male,52,
ida00358fe85bfe,AB,default,5,3,Used street names and building shapes for orientation. Follow direction of the path to navigate by counting each intersections.,26,4,True,30,0.866666666666667,137005,0.730103873833927,CD,default,4,3,Same as previous (I didn't had colored buildings as for the training),29,10,True,39,0.743589743589744,184497,0.596422519134232,right,5,5,Mouse,arc = chrome,No,,Male,34,"I know the topic of the thesisi, so I am not a good subject....!"
id1eb09ef65a4c3,AB,default,4,2,Noted there was no compass on street view.  rotated looking at each road on the starting cross roads trying to identify a feature from the photo on the map view. (1 of the roads had a next junction that was not at right angles).  Once orientated - navigated by counting junctions and turns.  Would have liked oneway arrows on the map view to compare against the street view.,22,1,True,23,0.956521739130435,107386,0.224938929703366,CD,color,5,3,zoomed in on street name signs. compared one way streets from map to signs on street view.,19,3,True,22,0.863636363636364,137132,0.547668911916486,Exteriour buildsing colour,5,1,Mouse,Edge,No,,Male,40,
id6c49efe096328,AB,default,4,3,Look at th ethe name of the stret,23,13,True,36,0.638888888888889,169167,0.577692694002955,,,,,,,,,,,,,,,,,,,,,,
id7848756e3d4808,AB,color,5,4,"Follow the roads (1st to left, 3rd to right, …), reference building layouts and street names with map to double check.",19,9,True,28,0.678571428571429,167227,0.250788291354266,,,,,,,,,,,,,,,,,,,,,,
id9fdde20d6c214,AB,color,4,3,Colors and counting crossroads.,19,14,True,33,0.575757575757576,172444,0.214213386973645,CD,default,2,1,Reading street signs and counting crossroads.,35,8,True,43,0.813953488372093,285537,0.711500518594762,The main color of the house.,4,1,Mouse,Chrome,No,,Male,44,"Google Street View typically shows a compass, this is helpful to start in the correct direction."
id4fae8c3dd608e,AB,color,1,1,Counting the number of blocks,30,39,False,69,0.434782608695652,170993,0.0338875052716036,CD,default,3,3,Constantly zooming in on road signs,40,6,True,46,0.869565217391304,197930,0.27864071789251,The main color of the building's facade,3,1,Mouse,Firefox,No,,none,39,The question about mouse/trackpad ect. did not have an option for a trackpoint
idf24e4d62e59b,AB,default,2,1,jai compte les rues et je me suis fiee a la forme des virages des rues pour savoir si j allais dans le bon sens,24,4,True,28,0.857142857142857,205476,0.404268579437699,CD,color,4,4,"j ai oublie de dire que, sur le premier exercice, ma strategie etait aussi de verifier le nom des rues sur les facades a chaque changement de direction: sur ce deuxieme exercice la couleur des batimemts sur le plan de gauche m a aide a trouver les carrefours ou il fallait tourner sams etre obligee de zoomer pour trouver le nom de la rue J ai eu l impression d ume ballade plus fluide sauf au depart ou j ai eu beaucop de mal a faire le lien entre le pln et googlestreet sur une des facades",32,3,False,35,0.914285714285714,184942,0.445489077930399,les facades,3,1,Mouse,Firefox,No,,Female,55,
id9e60fd7cc77be,AB,color,4,3,regarder la couleur des batiments et verifier avec le nom des rues,31,9,True,40,0.775,179772,0.200490249526547,,,,,,,,,,,,,,,,,,,,,,
idbf95a176706cc,,,,,,,,,,,,,CD,default,1,1,"By finding the street names on the buildings, but only few buildings have... ",21,22,False,43,0.488372093023256,249426,0.90898618923327,colours of the building facade ,3,2,Mouse,Chrome,No,,Male,26,This is a tricky survey
id28d5f7fe44a4b,,,,,,,,,,,,,CD,color,3,3,"following the colors on the left map, counting how many streets I am passing on my right and left side",29,0,True,29,1,115810,0.457416886971322,they represent dominant facade colors ,5,3,Mouse,Chrome,No,,Female,26,"sometimes i went through wrong direction on google views because of clicking mistakenly. that wasn't because i understood the left map wrong. it would be really good if there was street names on the google view. also, i think exaggrating the street and building geometries on navigation map can help the users find their way more comfortably besides indicating colors of buildings. but to be honest, it is best to not stare at your phone while navigating and instead enjoy the moment and environment "
ide45af7d58783,,,,,,,,,,,,,CD,default,5,3,Counting the number of intersections / streets,26,4,True,30,0.866666666666667,78199,0.43620675910355,Height or year,5,1,Mouse,Chrome,Maybe,Red and green but just a little bit so it was't a problem,Male,30,I worked with Qgis and Arcgis during my masters pretty often so maps is kind of my thing. I don't know if it plays a role. I think I accidently jumped the first form after the first excrecise so I would just like to stress that the colors of the buildings did help me get faster and more condfidentliy from A to B. Thanks a lot it was a lot of fun! 
id3505d1e975a56,,,,,,,,,,,,,CD,default,3,1,Check street names and intersections,23,1,True,24,0.958333333333333,156501,0.52300315989771,Approximate paint color of the building,5,1,Touchscreen,Safari,No,,Male,51,
idc357deb4788518,,,,,,,,,,,,,CD,default,5,4,Look at street names and count intersections,20,3,True,23,0.869565217391304,135645,0.810010915546863,"Distinct buildings, facades from the street",5,1,Mouse,Firefox,No,,Male,30,
